"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
Murray Hill/Stuyvesant,Bicycle,2018,Percent,0.01731,106
Upper West Side,Bicycle,2018,Percent,0.03051,107
Upper East Side,Bicycle,2018,Percent,0.0156,108
Manhattanville,Bicycle,2018,Percent,0.01065,109
Central Harlem,Bicycle,2018,Percent,0.00508,110
East Harlem,Bicycle,2018,Percent,0.03702,111
Washington Heights,Bicycle,2018,Percent,0.00391,112
Mott Haven,Bicycle,2018,Percent,0.00572,201
Hunts Point,Bicycle,2018,Percent,0.00572,202
Morrisania,Bicycle,2018,Percent,0.00113,203
Concourse/Highbridge,Bicycle,2018,Percent,0.00234,204
University Heights,Bicycle,2018,Percent,0.00493,205
East Tremont,Bicycle,2018,Percent,0.00113,206
Bedford Park,Bicycle,2018,Percent,0.00743,207
Riverdale,Bicycle,2018,Percent,0,208
Unionport/Soundview,Bicycle,2018,Percent,0.00063,209
Throgs Neck,Bicycle,2018,Percent,0,210
Pelham Parkway,Bicycle,2018,Percent,0,211
Williamsbridge,Bicycle,2018,Percent,0.00189,212
Williamsburg/Greenpoint,Bicycle,2018,Percent,0.03328,301
Fort Greene/Brooklyn Hts,Bicycle,2018,Percent,0.0423,302
Bedford Stuyvesant,Bicycle,2018,Percent,0.04001,303
Bushwick,Bicycle,2018,Percent,0.03627,304
East New York,Bicycle,2018,Percent,0.00045,305
Park Slope,Bicycle,2018,Percent,0.04275,306
Sunset Park,Bicycle,2018,Percent,0.02826,307
Crown Heights North,Bicycle,2018,Percent,0.03783,308
Crown Heights South,Bicycle,2018,Percent,0.0062,309
Bay Ridge,Bicycle,2018,Percent,0.01064,310
Bensonhurst,Bicycle,2018,Percent,0.00902,311
Borough Park,Bicycle,2018,Percent,0.00375,312
Coney Island,Bicycle,2018,Percent,0.00223,313
